Job Number,Current Category,Recommended Category,Needs Change,Job Description Snippet,Amount,Status,Change Reason
110,Urgent,Urgent,No,The electric hot water system has stopped working. They need hot water asap as her husband has Parkinson's disease.,495.0000,Completed,Correctly classified as urgent emergency
213,Urgent,Make Safe,Yes,MS Electrical Power points not working. Pre-approval limit: $300 + GST for all works outlined above. Re: MAKE SAFE_JOB-19538,438.9000,Completed,Contains 'MS' and 'MAKE SAFE' keywords - should be Make Safe category
221,Electrical,Electrical,No,Re: 76 Howards Rd Darren's residence. Fit off new shed Light and power. Rough in high bay lights in gym area.,6933.3700,Completed,Correctly classified as general electrical work
236,Electrical,Electrical,No,Stage 2 of Works.Darren's residence. Fit off new shed Light and power. Rough in high bay lights in gym area.,4221.9400,Completed,Correctly classified as general electrical work
267,Urgent,Make Safe,Yes,The mandatory Requirements for this Order are: Photos Required = Yes Trade Report Required = Yes Solar Electrical Unit has stopped working,275.0000,Completed,Contains make safe procedures and requirements
280,Electrical,Electrical,No,Stage 3 -Fit off Tac room and stables -2 Twin spot lights -2 down-lights -3 double GPO's and light switch - Dig underground trench,2481.0500,Completed,General electrical installation work
283,No Category Assigned,Electrical,Yes,2 tissue sample machines- Client to relocate machines -Provide new power supply and date cabling for back to base monitoring,1017.3400,Completed,Commercial electrical installation work
285,Electrical,Electrical,No,-AC tech is required to service air-conditioning unit (a rat has chewed a cable) -Electrician to determine if rectifiable,263.0000,Completed,Electrical fault diagnosis and repair
286,Electrical,Urgent,Yes,Photos Required = Yes Trade Report Required = Yes AREAS / Oven -electric oven is not working -Find Fault and if repairable,248.0000,Completed,Contains 'not working' - urgent repair needed
330,Electrical,Electrical,No,Dade Cell Washer in Blood Bank needs the saline fill calibration adjusted. This was preformed by QML electrical.,0.0000,Completed,Specialized electrical calibration work
337,Urgent,Make Safe,Yes,MAKE SAFE ETS0000665 They have a burst pipe caused the main bedroom to be saturated with water and requires electrical make safe,330.0000,Completed,Explicitly states 'MAKE SAFE' and water damage
345,Electrical,Electrical,No,Site Contact: LORNA MAREE COATES HOME ASSIST ELECTRICAL - TO REPLACE EXHAUST FAN Cost is $250 ex GST only,275.0000,Completed,Standard electrical replacement work
368,No Category Assigned,Electrical,Yes,Bathroom: - Finish Lighting - Reattach power points - Power to Dishwasher,932.0000,Completed,General electrical finishing work
399,No Category Assigned,Electrical,Yes,QML Site Contact: Judith Rasmussen - De-Energise existing benches - Remove existing benches - Install electrical for new benches,4377.0000,Unsuccessful,Commercial electrical installation project
